Nome;Latitude;Longitude
Vaz Comercio De Pecas Ltda;-23,1122991;-46,5567523
Cloviscar;-19,7833379;-42,1341073
Ciscon Funilaria E Pintura;-22,9742013;-49,8595109
Bott Auto Servicos;-22,1267398;-51,4243835
Velcar Serviços Automotivos;-18,1587104;-47,9413608
City Car - Centro Estético Automotivo;-20,5253499;-47,3797071
Cv Auto Impacto - Centro Automotivo;-16,3647325;-46,8920071
Poligerma Reparacao De Autos;-23,0402217;-45,5719369
Alto Nivel Funilaria E Pintura;-19,7787053;-47,9501104
Garrett Centro De Reparação De Veículos;-25,4924814;-49,302999
Doctorcar Martelinho De Ouro;-28,3891409;-53,9220126
Sandro Pintura Automotiva;-24,406727;-53,5137156
V 8 - Centro Automotivo;-23,619865;-46,7418047
Luziauto Recuperadora De Veiculos;-16,2421328;-47,9391371
Gusmão Reparos Automotivos;-23,5538821;-46,2231558
Frd Latoaria E Pintura;-26,8614301;-49,1567498
Recuperadora Bolzan;-25,2947528;-54,0934686
Rcar Reparos Automotivos;-23,5281912;-46,3188459
Automotiva Mangabeira;-17,866671;-51,7222211
Pollo;-16,1045791;-47,9737873
Bira Centro De Reparação Automotivo;-16,7203101;-49,3009388
Recuperadora Machado;-8,7560144;-63,8836492
Delta Lanternagens;-5,1185874;-42,7988731
Almeida Car;-19,894952;-44,0048859
Tratauto;-16,04895881;-47,99684472
Tecnoart Reparos Automotivos;-22,7934886;-45,1919775
Vh Service Car;-12,8528438;-38,3271112
São Bernardo Funilaria E Pintura;-23,5604253;-51,4583097
Automarcas Funilaria E Pintura;-16,7180972;-43,8498878
Mecânica Do Paulinho;-22,8728058;-42,3413939
Fastcar Premium Funilaria E Pintura;-23,3132505;-51,2145752
Exclusiva Estetica Automotiva;-2,5716559;-44,2242035
Mecanauto Centro Automotivo;-20,4437871;-54,6021273
Chapeação Maffissoni;-26,2475711;-52,6797755
Bastos Car Funilaria E Pintura;-23,5590903;-46,5949955
Centro Automotivo Pole Position;-19,894952;-44,0048859
Sul Veiculos Reparos Automotivos;-29,1579542;-51,1967797
Sergio Viraque Funilaria E Pintura;-31,3012431;-54,0752326
Amu Oficina;-22,8957541;-43,5825961
Nil Auto Center;-1,4249171;-48,477164
Recreiocar;-23,018015;-43,4768392
Mecanica Monte Castelo Ltda;-29,9278646;-51,1665723
Safety Car;-19,9578055;-44,0393488
Crv Auto Center;-22,3973934;-41,800907
B.a.r. Auto Service;-23,6401633;-46,7194462
Betocar;-19,9604661;-44,1999903
Centro Automotivo Expressocar;-12,2665414;-38,9434044
Fix Car Recuperadora Automotiva;-22,7574355;-43,4333208
Auto Zema;-15,764298;-47,9344981
Auto Morumbi Reparadora De Veiculos;-23,592455;-46,7310774
Alfacar Servicos Automotivos- Sem Interesse No Car10;-23,5553094;-46,465896
Anselmo Chapeação E Pinturas;-30,0134604;-51,1577229
Clean Car Serviços;-15,7904093;-47,9864444
Ditel Estética Automotiva;-22,4036898;-42,9768102
P2 Performance - Funilaria E Pintura;-25,4837777;-49,3238288
Chapeação E Pintura Schu;-29,4353338;-51,9971129
Resetcar;-22,5064468;-41,9315842
Fiat Cvp | Concessionária Fiat;-15,8338402;-48,0596161
D S - C Ar;-3,0089208;-59,990721
Oficina Paraibana;-9,7454898;-36,6412815
Milvel Auto Estufa Ltda;-23,7318521;-46,5534303
Menegon - Funilaria, Pintura E Mecânica;-22,8520567;-47,0685773
Salvacar Reparação Automotiva;-23,6412385;-46,6438337
S.s. Pires De Vargas & Cia Ltda;-23,2284208;-45,8744173
Jp Serviços Funilaria E Pintura;-5,197683;-37,3473168
Oficina Do Romero;-19,4680781;-42,5486621
Auto Miranda;-17,8484879;-41,4980739
Rei Da Lanternagem E Pintura;-15,6075258;-47,6499648
Centro Automotivo Maxicar;-29,918509;-51,132109
Prhocar Reparação Automotiva;-20,6525471;-40,4936331
Oficina São Caetano;-3,8107451;-38,5336529
Automotive;-16,6620626;-49,2823972
Dedcar Centro Automotivo;-16,6958823;-49,3148569
P4 Garagem;-23,4568295;-46,5614093
De Auto Center;-15,6328408;-56,1128304
Restaucar Pintura Automotiva;-19,3989763;-40,0578632
Bongiovani Funilaria E Pintura;-21,7861722;-48,2006468
Century Car;-23,5121135;-46,6046387
Paulinho Funilaria E Pintura;-23,114839;-46,5679098
R R Garage;-23,6053279;-47,022617
Mineiro Lanternagem E Pintura;-22,2475987;-42,5247548
Martelinho De Ouro Prime;-8,1085494;-34,9269021
Funilaria E Pintura Santa Rosa;-23,1013805;-52,4852971
Edcar - Chapeação E Pintura;-11,8844022;-55,4985332
Donicar;-23,4976035;-46,4516466
Mj Martelinho De Ouro;-7,9821777;-38,2892589
Primus Reparação Automotiva;-22,9795392;-47,1048352
Maquinária Reparação Automotiva;-27,6017913;-48,5839118
Reparos Funilaria E Pintura;-27,6564661;-52,2935376
Garage 469 Serviços Automotivos;-25,5521274;-54,5656843
Autoeskina;-25,0818626;-50,1801879
Joãozito Pinturas;-9,3994615;-40,5024661
Gcar Centro Automotivo;-19,7507108;-40,3799016
Veneza;-23,5002471;-46,6625375
Casa Do Motorista;-3,1168605;-59,9964746
Ls Clinica Do Automovel.;-29,1744604;-51,2147667
All Car Premium;-16,7351653;-49,2706782
Central Sul Imports - Central Jabaquara;-23,65469;-46,6465439
Dauto Lanternagem E Pintura Sof Sul;-15,8261632;-47,9595478
Option Serviços Automotivos;-25,5304023;-54,5830692
Autovia;-17,8810139;-51,7333636
Oficina Lauro;-27,6332121;-48,523412
Js Oficina;-2,5377555;-44,2363502
Alan Centro Automotivo;-19,8112978;-43,1933843
Hypercar Funilaria E Pintura;-23,4596858;-46,5328559
Rcar Reparos Automotivos - Mogi Das Cruzes;-23,5292768;-46,2060899
Autrios;-16,6947903;-49,3036319
Oficina 3 Irmãos;-29,7598314;-57,0736419
Carmais;-22,7532325;-43,4378379
Goodguys Restauração;-23,0096756;-46,835549
Artman - Lanternagem E Pintura;-19,6214715;-43,2153556
H - Centro;-22,9250858;-43,2507906
Doctorcar;-23,1780886;-46,9095562
Linox Servicos Automotivos;-15,7940053;-48,0250302
Estevam Centro De Servicos De Funilaria E Pintura;-19,6051414;-46,9456035
Garage;-6,0687275;-49,9035717
Sulcentercar;-30,1063842;-51,2222149
Concetto Reparação Automotiva - Mogi Guaçu;-22,3391702;-46,9294255
Oficina Santa Clara;-15,8760509;-47,9976223
Jachetta Funilaria E Pintura;-22,8780412;-47,0490483
Moreira Car;-23,5521885;-46,5860319
Santa Fe Lanternagem E Pintura;-15,8029887;-47,9567688
Station Car;-20,4256617;-49,9714413
Andrade Soluções Automotivas;-23,6560361;-46,7063077
H P Funilaria E Pintura;-22,3328377;-49,0450143
Oficina Monza;-20,80433747;-49,41657379
Funilaria Monza;-22,0114353;-47,8598664
Auto Mec Nsa Aparecida Marilia Ltda;-22,1738619;-49,9735222
Reverauto;-22,3676473;-47,3913117
Doni Funilaria E Pintura;-22,3652982;-46,9423726
Estação Do Carro;-22,9142646;-43,5575397
Oficina Guedes - Amorim;-9,6665114;-35,75205
Impacto E Cia;-18,8814912;-41,943957
Renovacar | Oficina De Chapeação E Pintura;-28,6730003;-49,4073723
Estação Do Carro;-22,9132661;-43,5617452
Jardim Analia Reparações;-23,53012612;-46,5544464
Centro Estetico Automotivo De Luna;-23,53434415;-46,60268947
Funilaria & Pint Garcia;-20,55607276;-48,57816522
Casa Dos Parachoques;-25,46177;-49,2554857
Carrozzeria Funilaria E Pintura; -23,5959433;-46,7459269
Lanternagem E Pintura Rubinho;-19,486335;-44,2401256
T8 Garage;-24,9725399;-53,4701219
Dauto Lanternagem E Pintura Guará;-15,8027623;-47,9572857
Relicario Lanternagem E Pintura Automotiva Ltda;-19,9093925;-43,9723295
Jk Oficina Indaiatuba;-23,1234235;-47,2227761
Auto Brasil;-22,8914396;-43,6436519
Cia Car Funilaria E Pintura;-26,9920103;-49,0893329
Master Funilaria E Pintura;-22,2350787;-54,8070032
Schedler Chapeação E Pintura;-29,4506789;-51,9591911
Art Car Funilaria E Pintura;-23,2741312;-51,2863574
Smart Auto Br;-23,5228378;-46,7703983
Revcar - Recuperação Automotiva;-9,6356713;-35,7262134
